//aapanel.example.com|https|8888;aa_admin;aa456
//admin.example.com|https|10000;sys_admin;webmin456
//ajenti.example.com|https|8000;ajenti_admin;ajenti456
//bt.example.com|https|8888#admin#aapanel789
//centos.example.com|https|2030#admin#cwp789
//cloudpanel.example.com|https|8443;cloud_admin;cloud456
//cwp.example.com|https|2030;cwp_admin;cwp456
//cyberpanel.example.com|https|8090;cyber_admin;cyber456
//docker.example.com|https|9000;portainer_admin;portainer456
//example.com|https|2083/login/?login_only=1;cpaneluser;cpanel123
//example.com|https|2086#root#rootpass
//example.com|https|21;ftpadmin;ftpadmin123
//example.com|https|8080 admin password123
//example.com|https|8080#admin#password123
//example.com|https|8080;admin;password123
//example.com|ldaps|636;secure_user;secure_pass
//example.com|rdp|3389#rdp_user#rdp_pass
//example.com|sftp|22#sftpuser#sftp123
//example.com|vnc|5900 vnc_user vnc_pass
//hestia.example.com|https|8083;hestia_admin;hestia456
//hestiacp.example.com|https|8083#admin#hestia789
//hosting.example.com|https|10000;vm_admin;vm456
//interworx.example.com|https|2443;iw_admin;iw456
//isp.example.com|https|8080;isp_admin;isp456
//ispconfig.example.com|https|8080#admin#isp789
//keyhelp.example.com|https|8443;keyhelp_admin;keyhelp456
//kloxo.example.com|https|7778;kloxo_admin;kloxo456
//litespeed.example.com|https|8090#admin#cyber789
//mongo.example.com|https|8081;mongo_admin;mongo456
//mongoexpress.example.com|https|8081#admin#mongo789
//panel.example.com|https|2443#admin#interworx789
//panel.example.com|https|7778#admin#kloxo789
//panel.example.com|https|8000#root#ajenti789
//panel.example.com|https|8443#admin#cloudpanel789
//panel.example.com|https|8443#admin#keyhelp789
//portainer.example.com|https|9000#admin#portainer789
//proxmox.example.com|https|8006#root#pve789
//pve.example.com|https|8006;pve_admin;pve456
//redis.example.com|https|8082;redis_admin;redis456
//rediscommander.example.com|https|8082#admin#redis789
//sub.example.com|https|2083 cpanel_admin cpanel_secret
//vesta.example.com|https|8083;vesta_admin;vesta456
//vestacp.example.com|https|8083#admin#vesta789
//virtualmin.example.com|https|10000#admin#vm789
//webmin.example.com|https|10000#root#webmin789
admin:password123|https|//example.com
admin|aapass123|example.com:8888
admin|aapass123|https://example.com:8888/login
admin|boltpass123|example.com
admin|boltpass123|https://example.com/bolt/
admin|c5pass123|example.com
admin|c5pass123|https://example.com/index.php/login
admin|cloudpass123|example.com:8443
admin|cloudpass123|https://example.com:8443/login
admin|contaopass123|example.com
admin|contaopass123|https://example.com/contao/
admin|craftpass123|example.com
admin|craftpass123|https://example.com/admin/
admin|cwppass123|example.com:2030
admin|cwppass123|http://example.com:2030/login/index.php
admin|cyberpass123|example.com:8090
admin|cyberpass123|http://example.com:8090/login/
admin|dapass123|example.com:2222
admin|dapass123|https://example.com:2222/CMD_LOGIN
admin|drupalpass123|example.com
admin|drupalpass123|https://example.com/user/login
admin|ezpass123|example.com
admin|ezpass123|https://example.com/ez/
admin|froxlorpass123|example.com
admin|froxlorpass123|https://example.com/froxlor/
admin|ghostpass123|example.com:2368
admin|ghostpass123|https://example.com/ghost/
admin|gravpass123|example.com
admin|gravpass123|https://example.com/admin/
admin|hestiapass123|example.com:8083
admin|hestiapass123|https://example.com:8083/login/
admin|interworxpass123|example.com:2443
admin|interworxpass123|https://example.com:2443/nodeworx/
admin|isppass123|example.com:8080
admin|isppass123|https://example.com:8080/login/index.php
admin|joomlapass123|example.com
admin|joomlapass123|https://example.com/administrator/
admin|keyhelppass123|example.com:8443
admin|keyhelppass123|https://example.com:8443/login
admin|kloxopass123|example.com:7778
admin|kloxopass123|http://example.com:7778/login/
admin|lokopass123|example.com
admin|lokopass123|https://example.com/admin/
admin|modxpass123|example.com
admin|modxpass123|https://example.com/manager/
admin|octoberpass123|example.com
admin|octoberpass123|https://example.com/backend/
admin|password123|https://example.com
admin|pimcorepass123|example.com
admin|pimcorepass123|https://example.com/admin/
admin|pleskpass123|example.com:8443
admin|pleskpass123|https://example.com:8443/login_up.php
admin|popojipass123|example.com
admin|popojipass123|https://example.com/admin/
admin|pwpass123|example.com
admin|pwpass123|https://example.com/processwire/
admin|sentorapass123|example.com
admin|sentorapass123|https://example.com/etc/apps/webmail/
admin|silverstripepass123|example.com
admin|silverstripepass123|https://example.com/admin/
