//example.com|https|admin:password123
2083/frontend/x3/index.html|//example.com|cpaneluser:cpanel123:https
admin:aapass123|example.com|8888
admin:cloudpass123|example.com|8443
admin:cwppass123|example.com|2030
admin:cyberpass123|example.com|8090
admin:dapass123|example.com|2222
admin:ghostpass123|example.com|2368
admin:hestiapass123|example.com|8083
admin:interworxpass123|example.com|2443
admin:isppass123|example.com|8080
admin:keyhelppass123|example.com|8443
admin:kloxopass123|example.com|7778
admin:pleskpass123|example.com|8443
admin:vestapass123|example.com|8083
admin:virtualminpass123|example.com|10000
atutor.example.com|instructor|atutorpass
canvas.example.com|instructor|canvaspass
chamilo.example.com|teacher|chamilopass
claroline.example.com|teacher|claropass
cloud.example.com|admin|nextcloudAdmin
cloud.example.com|admin|owncloudAdmin
cpaneluser:cpanel123|example.com|2083
dapodik.example.com|ops|dapodikpass
directadmin.example.com:2222|root|da456
dspace.example.com|dspaceuser|dspacepass
emis.example.com|operator|emispass
eprints.example.com|eprintsuser|eprintspass
example.co.id|admin|hospitalAdmin
example.co.id|admin|tokoAdmin
example.com/adminer|admin|adminerAdmin
example.com/adminer|dbuser|dbpass
example.com/administrator|admin|joomlaAdmin
example.com/administrator|joomlauser|jpass
example.com/admin|admin|balitbangAdmin
example.com/admin|admin|cakeAdmin
example.com/admin|admin|ciAdmin
example.com/admin|admin|craftAdmin
example.com/admin|admin|djangoAdmin
example.com/admin|admin|gravAdmin
example.com/admin|admin|lokoAdmin
example.com/admin|admin|magentoAdmin
example.com/admin|admin|opencartAdmin
example.com/admin|admin|oscAdmin
example.com/admin|admin|pimAdmin
example.com/admin|admin|popojiAdmin
example.com/admin|admin|prestaAdmin
example.com/admin|admin|shopifyAdmin
example.com/admin|admin|ssAdmin
example.com/admin|admin|symAdmin
example.com/admin|admin|yiiAdmin
example.com/admin|admin|zenAdmin
example.com/admin|admin|zendAdmin
example.com/admin|balitbanguser|balitbangpass
example.com/admin|cakeuser|cakepass
example.com/admin|craftuser|craftpass
example.com/admin|djangouser|djpass
example.com/admin|drupaladmin|dpass
example.com/admin|ezuser|ezpass
example.com/admin|gravuser|gravpass
example.com/admin|lokouser|lokopass
example.com/admin|magentoadmin|mpass
example.com/admin|ocadmin|ocpass
example.com/admin|osadmin|ospass
example.com/admin|pimuser|pimpass
example.com/admin|popojiuser|popojipass
example.com/admin|psadmin|pspass
example.com/admin|pwuser|pwpass
example.com/admin|shopifyuser|shopifypass
example.com/admin|ssuser|sspass
example.com/admin|symuser|sympass
example.com/admin|yiiuser|yiipass
example.com/admin|zcadmin|zcpass
example.com/admin|zenduser|zendpass
example.com/api|api_key|abc123def456
example.com/atutor|admin|atutorAdmin
example.com/auth|ciuser|cipass
example.com/backend|admin|octAdmin
example.com/backend|octuser|octpass
example.com/blog/wp-admin|author|authorpass
example.com/bolt|admin|boltAdmin
example.com/bolt|boltuser|boltpass
example.com/canvas|admin|canvasAdmin
example.com/chamilo|admin|chamiloAdmin
example.com/claroline|admin|claroAdmin
example.com/cms/admin|popoji_admin|popoji456
example.com/contao|admin|contaoAdmin
example.com/contao|contaouser|contaopass
example.com/cp|admin|statAdmin
example.com/cp|statuser|statpass
example.com/dapodik|admin|dapodikAdmin
example.com/dashboard|admin|c5Admin
example.com/dashboard|admin|laravelAdmin
example.com/dspace|admin|dspaceAdmin
example.com/emis|admin|emisAdmin
example.com/eprints|admin|eprintsAdmin
