# Extracted credentials using Ultra-Optimized Platform-Specific Credential Extractor v4.1.0 FINAL
# Platform: all_platforms
# Total credentials: 10
# Processing time: 0.01 seconds
# Extraction date: 2025-09-15 23:06:11
# Format: URL|Username|Password
#
admin.com:10000|admin|virtualmin456
control.com:8880|admin|plesk456
https://example.com/administrator/index.php|jadmin|joomla456
https://example.com/administrator/|admin|joomlapass123
https://example.com/phpmyadmin/|dbuser|mysql123
https://example.com/wp-admin/|admin|wppass123
https://site.com/administrator/components/|compadmin|component789
https://site.com/wp-admin|wpuser|wppass
ssh://panel.com:2222|admin|directadmin456
ssh://server.com:22|admin|ssh456
