# Extracted credentials using Ultra-Optimized Platform-Specific Credential Extractor v4.1.0 FINAL
# Platform: all_platforms
# Total credentials: 258
# Processing time: 0.05 seconds
# Extraction date: 2025-09-15 23:07:45
# Format: URL|Username|Password
#
192.168.1.1:10000|admin|virtualminpass123
192.168.1.1:10000|root|webminpass123
192.168.1.1:2082|user|userpass123
192.168.1.1:2083|cpaneluser|cpanel123
192.168.1.1:2087|root|whmpass123
192.168.1.1:2096|webmailuser|webmail123
192.168.1.1|admin|craftpass123
admin|cloudpass123|192.168.1.1:8443
admin|cloudpass123|example.com:8443
admin|cloudpass123|https://example.com:8443/login
admin|craftpass123|192.168.1.1
admin|craftpass123|example.com
admin|craftpass123|https://example.com/admin/
admin|cwppass123|http://example.com:2030/login/index.php
admin|dapass123|192.168.1.1:2222
admin|dapass123|example.com:2222
admin|dapass123|https://example.com:2222/CMD_LOGIN
admin|isppass123|https://example.com:8080/login/index.php
admin|joomlapass123|192.168.1.1
admin|joomlapass123|example.com
admin|joomlapass123|https://example.com/administrator/
admin|keyhelppass123|192.168.1.1:8443
admin|keyhelppass123|example.com:8443
admin|keyhelppass123|https://example.com:8443/login
admin|pleskpass123|192.168.1.1:8443
admin|pleskpass123|example.com:8443
admin|pleskpass123|https://example.com:8443/login_up.php
admin|virtualminpass123|192.168.1.1:10000
admin|virtualminpass123|example.com:10000
admin|virtualminpass123|https://example.com:10000/virtual-server/
admin|whmpass456|https://example.com:2087/whm-server-status
admin|wppass123|https://example.com/wp-admin/
cloudadmin|cloudpass456|https://example.com:8443/server
cloudpass123:192|admin|.168.1.1
comadmin|compass123|https://example.com/administrator/components/com_admin/
cpanel123:192|cpaneluser|.168.1.1
cpaneluser|cpanel123|192.168.1.1:2083
cpaneluser|cpanel123|example.com:2083
cpaneluser|cpanel123|https://example.com:2083/login/?login_only=1
craftadmin|craftpass789|http://example.com/cpresources/
craftuser|craftpass456|https://example.com/admin/login
da_admin|dapass456|https://example.com:2222/CMD_ADMIN_STATS
dapass123:192|admin|.168.1.1
dbadmin|dbpass456|https://example.com:2222/CMD_DB
domainadmin|domain123|https://example.com:8443/admin/domain/list
emailadmin|emailpass456|https://example.com:8443/email/
example.com/adminer|admin|adminerAdmin
example.com/adminer|dbuser|dbpass
example.com/admin|craftuser|craftpass
example.com/phpmyadmin|admin|pmaAdmin
example.com/phpmyadmin|dbuser|dbpass
example.com:10000|administrator|webminAdmin
example.com:10000|admin|virtualminpass123
example.com:10000|admin|vmAdmin
example.com:10000|root|webminpass123
example.com:2082|cwpuser|cwpuserpass
example.com:2083|cpaneluser|cpanel123
example.com:2083|webmaster|hosting123
example.com:2087|administrator|whm456
example.com:2087|reseller|resellerpass
example.com:2087|root|whmpass123
example.com|10000|virtualminpass123
example.com|10000|webminpass123
example.com|2083|cpanel123
example.com|2087|whmpass123
example.com|8443|pleskpass123
example.com|admin|craftpass123
example.com|user@domain.com|userpass
filemanager|filepass123|https://example.com:2222/CMD_FILE_MANAGER
ftp.example.com|webmaster|ftp789
ftp://example.com:2121|ftpuser2|ftppass2
ftp://example.com:21|ftp_admin|ftp456
ftp://example.com:21|ftpuser|ftpAdmin
ftp://example.com:21|ftpuser|ftppass123
ftp://example.com|ftpuser|ftppass
horde|horde123|http://example.com:2095/horde/
http://cpanel.example.com:2095|reseller|reseller123
http://da.example.com:2221|user|userda
http://example.com/cpresources/|craftadmin|craftpass789
http://example.com/wordpress|blogger|blog123
http://example.com/wp-admin/admin-ajax.php|wordpress|wppass789
http://example.com:2030/login/index.php|admin|cwppass123
http://example.com:2082/|user|userpass123
http://example.com:2095/horde/|horde|horde123
http://example.com:8000|administrator|ajentiAdmin
http://example.com:8006|administrator|pveAdmin
http://example.com:8080|administrator|ispAdmin
http://example.com:8083|administrator|hestiaAdmin
http://example.com:8083|administrator|vestaAdmin
http://example.com:8090|administrator|cyberAdmin
http://example.com:8880/admin/index.php|plesk|pleskpass456
http://joomla.example.com/administrator|manager|managerpass
http://moodle.example.com/login|student|studentpass
http://phpmyadmin.example.com:8080|phpmyadmin|phpmyadmin
http://plesk.example.com:8880|user|userplesk
http://whm.example.com:2095|master|masterpass
https://10.0.0.1|administrator|admin123
https://127.0.0.1|administrator|admin123
https://172.16.1.1|administrator|admin123
https://192.168.1.1:8443|admin|cloudpass123
https://192.168.1.1:8443|admin|keyhelppass123
https://192.168.1.1:8443|admin|pleskpass123
https://192.168.1.1|administrator|admin123
https://192.168.1.1|admin|joomlapass123
https://admin.example.com:10000|sys_admin|webmin456
https://blog.example.com/wp-admin|wordpress|wp456
https://cloudpanel.example.com:8443|cloud_admin|cloud456
https://cms.example.com/administrator|publisher|pubpass
https://cyber.example.com:8443|cyberuser|cyberpass
https://db.example.com/phpmyadmin|mysql_admin|mysql456
https://example.com/admin/login|craftuser|craftpass456
https://example.com/admin/|admin|craftpass123
https://example.com/adminer.php|root|adminer123
https://example.com/administrator/components/com_admin/|comadmin|compass123
https://example.com/administrator/index.php|joomlauser|joomlapass456
https://example.com/administrator/modules/|moduleadmin|modulepass456
https://example.com/administrator/templates/|templateadmin|templatepass789
https://example.com/administrator/|admin|joomlapass123
https://example.com/administrator|admin|joomla123
https://example.com/administrator|admin|joomlaAdmin
https://example.com/administrator|joomlauser|jpass
https://example.com/blog/wp-admin|author|authorpass
https://example.com/cpanel|cpaneluser|cpanelpass
https://example.com/directadmin|da_admin|da789
https://example.com/phpmyadmin|root|mysql123
https://example.com/plesk|plesk_admin|plesk789
https://example.com/wp-admin/network/sites.php|superadmin|superpass456
https://example.com/wp-admin/network/|networkadmin|networkpass123
https://example.com/wp-admin/|admin|wppass123
https://example.com/wp-admin|admin|wooAdmin
https://example.com/wp-admin|admin|woocommerce123
https://example.com/wp-admin|admin|wordpress123
https://example.com/wp-admin|admin|wpAdmin123
https://example.com/wp-admin|shopmanager|woopass
https://example.com/wp-login.php|wpuser|wppass
https://example.com/wp-login.php|wpuser|wppass456
https://example.com:10000/config.cgi|webminadmin|webminpass456
https://example.com:10000/mailbox/|vmadmin|virtualminpass456
https://example.com:10000/session_login.cgi|root|webminpass123
https://example.com:10000/virtual-server/|admin|virtualminpass123
https://example.com:10000/virtual-server|admin|virtualmin123
https://example.com:10000|root|webmin123
https://example.com:2030|administrator|cwpAdmin
https://example.com:2082|demo|demo123
https://example.com:2083/frontend/x3/index.html|cpaneluser|cpanel123
https://example.com:2083/login/?login_only=1|cpaneluser|cpanel123
https://example.com:2083/|webuser|userpass456
https://example.com:2083|admin|cpanel123
https://example.com:2087/scripts2/doautofixperms|root|whmpass123
https://example.com:2087/whm-server-status|admin|whmpass456
https://example.com:2087|root|whmpass123
https://example.com:2096/roundcube/|roundcube|round123
https://example.com:2096/|webmailuser|webmail123
https://example.com:21|ftpadmin|ftpadmin123
https://example.com:2222/CMD_ADMIN_STATS|da_admin|dapass456
https://example.com:2222/CMD_DB|dbadmin|dbpass456
https://example.com:2222/CMD_EMAIL_POP|popuser|poppass789
https://example.com:2222/CMD_FILE_MANAGER|filemanager|filepass123
https://example.com:2222/CMD_LOGIN|admin|dapass123
https://example.com:2222|admin|dapass123
https://example.com:2443|administrator|iwAdmin
https://example.com:7778|administrator|kloxoAdmin
https://example.com:8080/login/index.php|admin|isppass123
https://example.com:8443/admin/domain/list|domainadmin|domain123
https://example.com:8443/admin/subscription/list|subscription|subpass456
https://example.com:8443/email/|emailadmin|emailpass456
https://example.com:8443/kh/login|khadmin|keyhelppass456
https://example.com:8443/login_up.php|admin|pleskpass123
https://example.com:8443/login|admin|cloudpass123
https://example.com:8443/login|admin|keyhelppass123
https://example.com:8443/server|cloudadmin|cloudpass456
https://example.com:8443/sites|siteadmin|cloudpass789
https://example.com:8443/smb/web/list|smbuser|smbpass123
https://example.com:8443/websites/|webadmin|cyberpass789
https://example.com:8443|administrator|cloudAdmin
https://example.com:8443|administrator|keyhelpAdmin
https://example.com:8443|administrator|pleskadmin
https://example.com:8443|admin|cloudpanel123
https://example.com:8443|admin|cloudpass123
https://example.com:8443|admin|cyberpanel123
https://example.com:8443|admin|keyhelp123
https://example.com:8443|admin|keyhelppass123
https://example.com:8443|admin|pleskpass123
https://example.com:8443|clouduser|cloudpass
https://example.com:8443|cyberadmin|cyberpass789
https://example.com:8443|keyhelpuser|keyhelppass
https://example.com:8888|administrator|aaAdmin
https://example.com|admin|joomlapass123
https://hyperv.example.com|administrator|hyperv123
https://hyperv.example.com|administrator|hypervAdmin
https://keyhelp.example.com:8443|keyhelp_admin|keyhelp456
https://learn.example.com|admin|moodle123
https://learn.example.com|admin|moodleAdmin
https://lms.example.com|moodle_admin|moodle456
https://moodle.example.com|teacher|moodlepass
https://mysql.example.com/phpmyadmin|mysqluser|mysqlpass
https://news.example.com/wp-admin|contributor|contributorpass
